age,income,tenure,monthly_charge,num_products,region,support_calls,churn
22,55452,9,47.08,4,West,1,0
50,71999,13,80.33,4,South,0,0
44,35755,6,89.46,1,East,1,1
42,44194,6,62.49,3,South,1,0
49,43982,4,93.65,2,East,4,0
56,74254,4,79.64,2,West,3,1
50,85659,5,56.08,1,West,3,1
21,58433,3,98.03,2,South,1,0
27,57467,1,47.17,1,East,2,0
33,61050,1,62.47,5,North,3,0
40,77428,12,65.87,4,West,3,0
45,46089,13,82.1,3,South,4,0
32,63575,7,92.31,4,South,0,0
41,74627,1,91.06,4,East,0,1
32,67516,1,74.47,5,South,3,0
33,62843,3,64.39,2,West,2,0
25,75015,10,33.48,3,South,1,0
30,20000,4,43.72,2,South,1,0
26,70168,4,105.33,4,North,1,0
30,50188,2,33.28,1,North,3,1
50,32540,1,54.31,4,West,1,0
30,67668,3,92.89,2,East,0,0
66,80604,11,74.19,4,North,1,1
44,57938,4,88.56,1,East,5,0
41,74293,3,80.86,5,West,1,0
31,84184,8,99.39,2,North,0,0
47,79723,14,75.91,4,East,3,0
34,84599,10,83.27,2,North,2,0
41,71131,1,55.52,5,West,1,1
65,61131,14,81.73,4,West,1,0
39,35970,2,62.08,4,North,4,0
51,56309,13,60.94,2,East,1,0
32,47351,7,87.89,2,South,2,1
39,92564,4,88.03,1,South,2,0
57,57361,8,103.77,5,North,1,0
33,61848,11,102.47,1,East,4,1
58,68272,13,88.35,4,South,1,0
47,60654,3,35.59,2,West,0,0
34,85425,6,106.55,4,East,2,0
46,50660,9,88.36,4,South,0,0
49,62919,1,54.68,3,East,3,1
46,48862,1,84.58,3,North,0,1
24,40199,8,49.25,4,East,5,1
32,50823,3,82.37,2,South,3,1
37,59444,5,43.67,4,North,1,0
39,53560,1,53.84,3,East,2,0
46,49613,5,84.2,2,West,2,0
41,38905,11,91.46,4,South,2,0
26,58753,6,76.51,5,North,1,0
43,37429,8,64.28,5,East,4,1
46,71400,13,27.7,4,West,1,0
45,61236,14,65.82,2,South,4,0
50,38136,3,80.67,4,West,0,1
48,55361,3,63.66,4,East,2,1
44,48717,12,69.55,3,East,2,0
39,64787,11,66.29,5,North,1,0
23,80106,11,63.57,3,West,4,0
44,31872,10,71.52,3,North,2,1
42,61725,9,64.55,4,South,4,1
42,57598,4,98.87,3,North,2,1
27,70070,4,25.87,5,South,3,0
29,63197,12,59.08,3,East,3,0
50,48720,7,52.59,5,East,1,0
39,55214,2,74.38,3,West,0,0
46,48059,8,71.54,5,South,1,0
40,76140,6,102.44,3,East,2,1
40,60319,3,109.02,3,West,2,1
49,88517,9,54.54,2,West,4,0
34,59090,5,70.01,5,North,1,0
40,49373,8,73.93,5,West,3,0
35,37294,7,54.04,5,East,4,1
35,32952,14,82.57,1,North,4,0
36,36237,8,65.21,3,South,1,0
42,64006,7,48.65,5,South,2,1
35,67630,3,64.41,1,East,3,1
52,36282,2,50.05,2,East,0,0
31,73425,7,90.73,5,North,1,0
38,52754,3,108.03,5,North,2,1
35,62201,3,74.9,1,East,3,0
54,84183,2,72.23,3,East,2,1
41,73452,4,73.05,2,South,1,0
50,55972,8,93.64,5,South,1,0
25,46632,12,93.21,3,South,0,0
42,27722,1,67.69,2,East,2,1
48,49212,1,75.05,4,West,2,1
40,56833,12,83.05,4,East,1,0
50,45192,14,47.25,2,East,2,0
34,58031,5,94.25,1,South,3,1
54,61152,11,104.7,2,East,2,1
62,56627,5,93.3,2,North,2,0
36,50249,11,45.09,1,East,3,0
35,62529,12,30.6,1,East,2,1
54,66629,1,84.17,3,East,2,1
55,43644,6,54.8,3,East,1,1
34,81163,1,75.74,1,West,4,1
35,58521,5,100.7,4,East,5,1
37,60282,9,56.86,4,North,1,0
26,70623,12,62.45,2,North,1,0
30,63498,14,75.53,5,East,4,0
29,74297,5,44.05,2,South,2,0
32,64306,6,54.84,2,West,4,0
39,50813,8,70.5,5,East,3,0
42,65422,11,63.99,1,East,2,0
55,42844,1,82.17,4,East,2,0
30,61628,14,125.32,2,South,0,0
49,59501,2,71.98,5,South,2,0
37,56878,9,53.17,3,South,0,0
39,58071,3,98.36,2,West,4,0
46,31772,6,38.22,4,North,3,0
28,51769,5,42.22,1,West,3,1
43,61392,11,58.1,2,South,0,0
41,62397,2,64.34,2,North,4,1
44,44584,14,57.62,5,North,2,0
42,78985,7,69.37,3,South,1,0
64,47007,4,75.49,3,South,1,0
33,74541,1,91.38,1,West,3,1
34,66407,13,71.82,4,South,2,1
33,50306,4,58.76,1,North,1,0
34,86629,6,90.29,2,East,2,1
33,42095,7,53.65,2,South,1,1
51,73787,7,37.35,3,South,2,1
54,75008,14,94.12,4,West,3,0
34,49940,7,92.84,5,West,2,0
31,80886,3,54.15,4,South,1,1
44,56249,6,62.02,2,North,0,0
34,64330,13,51.66,5,North,0,0
46,63904,8,76.53,4,East,1,0
42,57985,4,104.64,4,South,2,1
24,72162,13,84.06,5,West,2,0
55,71902,8,90.71,2,North,2,0
57,33772,2,86.39,4,East,1,1
33,79565,10,70.0,5,South,1,0
36,35062,9,91.67,2,North,2,0
42,75488,9,84.9,5,South,0,0
43,76900,8,98.79,5,South,1,0
46,43635,10,60.81,4,North,3,0
60,53837,14,35.24,2,North,0,0
38,43414,13,90.91,4,North,0,0
32,56776,10,77.0,1,South,1,0
26,55379,1,64.08,1,South,1,1
32,71694,2,65.2,2,East,0,0
39,79654,6,121.09,5,West,2,0
57,80935,10,57.16,4,South,2,0
34,51567,5,52.93,4,West,2,0
42,56861,12,71.71,2,North,0,0
39,34748,14,93.61,2,South,3,0
51,47911,9,115.57,1,East,0,0
65,74472,5,83.15,3,East,2,1
34,84233,2,44.59,2,West,3,1
35,41484,10,109.42,3,North,4,0
50,51113,4,69.61,2,West,2,0
46,59603,9,53.25,5,North,2,1
58,64202,1,48.41,5,East,1,0
45,47855,11,86.73,1,West,4,0
36,66360,1,74.78,1,East,3,0
45,52892,12,76.9,3,East,3,0
51,59783,7,95.73,2,North,2,1
48,68194,11,53.96,4,West,1,1
45,60096,3,97.32,1,West,3,1
50,53454,10,59.62,4,East,1,0
51,58355,2,113.28,4,East,0,0
53,58674,9,81.97,2,North,3,0
46,54449,3,51.6,3,South,2,0
38,56118,2,29.49,2,South,3,0
41,83979,12,86.18,1,East,3,1
52,68413,8,62.52,4,South,0,0
31,55567,10,66.89,2,South,3,1
43,70454,6,85.32,2,South,2,1
36,54992,6,90.21,2,South,2,0
40,77596,10,94.47,1,East,3,1
52,65544,11,46.5,3,South,1,0
41,58390,7,98.52,2,South,1,1
40,66715,7,58.42,1,North,2,0
26,36436,11,24.88,4,East,1,0
47,43098,13,46.43,5,West,0,0
46,42091,6,74.36,1,West,2,1
61,62144,4,50.42,5,North,4,0
36,85987,11,68.24,2,North,2,1
42,93469,9,76.77,2,East,0,0
42,69570,6,66.37,1,West,1,0
55,67512,4,60.11,5,South,5,1
39,32984,12,44.99,2,North,4,0
42,51859,3,70.44,4,West,4,1
46,48183,4,28.7,3,East,4,1
41,50687,3,56.28,3,South,3,1
35,57477,2,51.44,2,East,2,0
41,52918,14,65.21,5,North,1,0
50,30310,5,65.73,2,West,1,1
29,71218,2,89.2,5,West,1,0
41,43908,6,101.67,4,West,0,0
32,63588,3,47.64,5,West,1,1
51,91111,6,109.86,2,South,4,0
24,46209,11,54.41,4,South,0,0
34,22045,10,73.45,1,East,1,1
43,55709,9,80.22,3,South,3,0
55,76514,1,118.89,2,North,1,0
39,89375,6,59.15,2,North,2,0
34,41556,9,34.07,2,West,1,0
58,67450,11,99.81,4,North,2,0
25,53020,4,53.33,1,East,3,0
18,58410,11,62.77,5,South,1,0
44,99665,12,47.65,1,South,5,0
34,37455,2,62.83,4,South,5,1
29,63806,13,53.19,2,North,1,0
47,67015,4,83.53,3,South,0,0
42,76286,1,71.62,2,West,1,1
34,61469,3,56.38,5,West,3,0
27,64620,10,89.92,3,West,1,0
48,54125,9,75.1,2,North,0,1
46,64036,10,33.08,3,South,3,0
39,54852,5,88.39,1,North,2,1
58,69323,11,73.7,4,South,0,0
29,54455,6,97.81,2,East,0,0
24,65656,3,72.48,5,East,1,0
33,59561,5,54.17,1,North,2,0
39,76890,11,65.91,2,West,1,0
42,59229,8,86.08,1,North,0,1
37,33404,6,54.59,5,West,3,0
43,78928,4,61.19,2,South,0,1
27,46414,2,65.57,5,West,2,1
54,50193,14,47.01,3,West,1,0
39,51065,9,54.87,5,South,1,0
51,80616,13,73.45,3,East,3,0
43,27964,12,94.05,2,South,2,1
44,107066,1,76.34,3,North,3,1
45,75840,1,69.08,2,North,3,1
44,63348,13,53.37,2,North,5,0
46,59176,4,91.9,4,North,2,0
53,64283,7,78.67,2,North,0,1
41,67816,1,55.87,3,East,1,0
47,69678,9,87.97,4,East,1,0
39,68334,4,81.19,4,West,2,0
54,61343,3,53.73,2,North,3,0
33,57039,1,67.97,5,South,4,0
58,57730,10,60.14,5,North,0,0
39,57076,4,122.67,4,East,1,0
25,77006,9,80.63,2,North,2,0
41,68903,13,73.74,5,East,2,0
33,20000,14,79.45,2,West,3,0
48,69838,10,97.58,2,West,1,1
33,62921,6,68.33,4,West,1,0
35,59719,6,58.2,4,East,2,0
21,54172,1,86.89,1,North,0,1
35,76861,10,66.5,5,North,3,0
18,74212,2,48.6,5,South,3,0
24,48406,11,44.71,5,East,3,0
47,66105,6,100.59,3,South,3,1
47,45425,2,72.63,2,West,2,0
44,39305,3,58.21,4,North,5,1
30,50599,4,65.31,5,East,3,1
39,72935,11,86.15,1,South,1,1
39,74296,5,64.13,5,South,4,1
28,67696,9,41.01,2,South,2,0
55,70876,12,76.52,2,North,2,0
48,67742,4,94.17,4,North,0,0
37,50377,13,92.83,3,North,1,0
40,66478,11,58.81,4,East,2,1
42,72006,9,95.38,5,North,1,1
19,71314,11,74.26,1,East,3,1
37,77833,10,94.82,4,South,5,0
33,70624,3,81.47,3,South,2,1
29,65271,8,39.57,4,West,2,1
37,76052,12,104.93,2,North,2,0
57,59602,1,71.04,5,South,1,0
46,46771,11,81.54,5,North,1,1
34,57553,9,43.12,5,East,3,0
45,48826,9,80.11,5,South,4,1
